,Gombak,Taman Melati,Wangsa Maju,Sri Rampai,Setiawangsa,Jelatek,Dato' Keramat,Damai,Ampang Park,KLCC,Kampung Baru,Dang Wangi,Masjid Jamek (KJL),Pasar Seni (KJL),KL Sentral (KJL),Bangsar,Abdullah Hukum,Kerinchi,Universiti,Taman Jaya,Asia Jaya,Taman Paramount,Taman Bahagia,Kelana Jaya,Lembah Subang,Ara Damansara,Glenmarie,Subang Jaya,SS 15,SS 18,USJ 7 (KJL),Taipan,Wawasan,USJ 21,Alam Megah,Subang Alam,Putra Heights (KJL),Sungai Buloh,Kampung Selamat,Kwasa Damansara,Kwasa Sentral,Kota Damansara,Surian,Mutiara Damansara,Bandar Utama,TTDI,Phileo Damansara,Pusat Bandar Damansara,Semantan,Muzium Negara,Pasar Seni (SBK),Merdeka,Bukit Bintang,Tun Razak Exchange (TRX),Cochrane,Maluri (SBK),Taman Pertama,Taman Midah,Taman Mutiara,Taman Connaught,Taman Suntex,Sri Raya,Bandar Tun Hussein Onn,Batu 11 Cheras,Bukit Dukung,Sungai Jernih,Stadium Kajang,Kajang
Gombak,0,3,7,9,15,17,18,19,21,22,24,26,28,29,32,34,37,38,40,44,46,49,52,54,57,59,62,63,67,69,72,73,76,78,81,84,88,66,64,62,59,56,53,50,48,45,42,38,36,32,30,31,34,36,39,40,44,46,48,51,53,56,58,60,63,67,68,71
Taman Melati,3,0,4,6,12,14,15,16,18,19,21,23,25,26,29,31,34,35,37,41,43,46,49,51,54,56,59,60,64,66,69,70,73,75,78,81,85,63,61,59,56,53,50,47,45,42,39,35,33,29,27,28,31,33,36,37,41,43,45,48,50,53,55,57,60,64,65,68
Wangsa Maju,7,4,0,2,8,10,11,12,14,15,17,19,21,22,25,27,30,31,33,37,39,42,45,47,50,52,55,56,60,62,65,66,69,71,74,77,81,59,57,55,52,49,46,43,41,38,35,31,29,25,23,24,27,29,32,33,37,39,41,44,46,49,51,53,56,60,61,64
Sri Rampai,9,6,2,0,6,8,9,10,12,13,15,17,19,20,23,25,28,29,31,35,37,40,43,45,48,50,53,54,58,60,63,64,67,69,72,75,79,57,55,53,50,47,44,41,39,36,33,29,27,23,21,22,25,27,30,31,35,37,39,42,44,47,49,51,54,58,59,62
Setiawangsa,15,12,8,6,0,2,3,4,6,7,9,11,13,14,17,19,22,23,25,29,31,34,37,39,42,44,47,48,52,54,57,58,61,63,66,69,73,51,49,47,44,41,38,35,33,30,27,23,21,17,15,16,19,21,24,25,29,31,33,36,38,41,43,45,48,52,53,56
Jelatek,17,14,10,8,2,0,1,2,4,5,7,9,11,12,15,17,20,21,23,27,29,32,35,37,40,42,45,46,50,52,55,56,59,61,64,67,71,49,47,45,42,39,36,33,31,28,25,21,19,15,13,14,17,19,22,23,27,29,31,34,36,39,41,43,46,50,51,54
Dato' Keramat,18,15,11,9,3,1,0,1,3,4,6,8,10,11,14,16,19,20,22,26,28,31,34,36,39,41,44,45,49,51,54,55,58,60,63,66,70,48,46,44,41,38,35,32,30,27,24,20,18,14,12,13,16,18,21,22,26,28,30,33,35,38,40,42,45,49,50,53
Damai,19,16,12,10,4,2,1,0,2,3,5,7,9,10,13,15,18,19,21,25,27,30,33,35,38,40,43,44,48,50,53,54,57,59,62,65,69,47,45,43,40,37,34,31,29,26,23,19,17,13,11,12,15,17,20,21,25,27,29,32,34,37,39,41,44,48,49,52
Ampang Park,21,18,14,12,6,4,3,2,0,1,3,5,7,8,11,13,16,17,19,23,25,28,31,33,36,38,41,42,46,48,51,52,55,57,60,63,67,45,43,41,38,35,32,29,27,24,21,17,15,11,9,10,13,15,18,19,23,25,27,30,32,35,37,39,42,46,47,50
KLCC,22,19,15,13,7,5,4,3,1,0,2,4,6,7,10,12,15,16,18,22,24,27,30,32,35,37,40,41,45,47,50,51,54,56,59,62,66,44,42,40,37,34,31,28,26,23,20,16,14,10,8,9,12,14,17,18,22,24,26,29,31,34,36,38,41,45,46,49
Kampung Baru,24,21,17,15,9,7,6,5,3,2,0,2,4,5,8,10,13,14,16,20,22,25,28,30,33,35,38,39,43,45,48,49,52,54,57,60,64,42,40,38,35,32,29,26,24,21,18,14,12,8,6,7,10,12,15,16,20,22,24,27,29,32,34,36,39,43,44,47
Dang Wangi,26,23,19,17,11,9,8,7,5,4,2,0,2,3,6,8,11,12,14,18,20,23,26,28,31,33,36,37,41,43,46,47,50,52,55,58,62,40,38,36,33,30,27,24,22,19,16,12,10,6,4,5,8,10,13,14,18,20,22,25,27,30,32,34,37,41,42,45
Masjid Jamek (KJL),28,25,21,19,13,11,10,9,7,6,4,2,0,1,4,6,9,10,12,16,18,21,24,26,29,31,34,35,39,41,44,45,48,50,53,56,60,38,36,34,31,28,25,22,20,17,14,10,8,4,2,3,6,8,11,12,16,18,20,23,25,28,30,32,35,39,40,43
Pasar Seni (KJL),29,26,22,20,14,12,11,10,8,7,5,3,1,0,3,5,8,9,11,15,17,20,23,25,28,30,33,34,38,40,43,44,47,49,52,55,59,37,35,33,30,27,24,21,19,16,13,9,7,3,1,2,5,7,10,11,15,17,19,22,24,27,29,31,34,38,39,42
KL Sentral (KJL),32,29,25,23,17,15,14,13,11,10,8,6,4,3,0,2,5,6,8,12,14,17,20,22,25,27,30,31,35,37,40,41,44,46,49,52,56,40,38,36,33,30,27,24,22,19,16,12,10,6,4,5,8,10,13,14,18,20,22,25,27,30,32,34,37,41,42,45
Bangsar,34,31,27,25,19,17,16,15,13,12,10,8,6,5,2,0,3,4,6,10,12,15,18,20,23,25,28,29,33,35,38,39,42,44,47,50,54,42,40,38,35,32,29,26,24,21,18,14,12,8,6,7,10,12,15,16,20,22,24,27,29,32,34,36,39,43,44,47
Abdullah Hukum,37,34,30,28,22,20,19,18,16,15,13,11,9,8,5,3,0,1,3,7,9,12,15,17,20,22,25,26,30,32,35,36,39,41,44,47,51,45,43,41,38,35,32,29,27,24,21,17,15,11,9,10,13,15,18,19,23,25,27,30,32,35,37,39,42,46,47,50
Kerinchi,38,35,31,29,23,21,20,19,17,16,14,12,10,9,6,4,1,0,2,6,8,11,14,16,19,21,24,25,29,31,34,35,38,40,43,46,50,46,44,42,39,36,33,30,28,25,22,18,16,12,10,11,14,16,19,20,24,26,28,31,33,36,38,40,43,47,48,51
Universiti,40,37,33,31,25,23,22,21,19,18,16,14,12,11,8,6,3,2,0,4,6,9,12,14,17,19,22,23,27,29,32,33,36,38,41,44,48,48,46,44,41,38,35,32,30,27,24,20,18,14,12,13,16,18,21,22,26,28,30,33,35,38,40,42,45,49,50,53
Taman Jaya,44,41,37,35,29,27,26,25,23,22,20,18,16,15,12,10,7,6,4,0,2,5,8,10,13,15,18,19,23,25,28,29,32,34,37,40,44,52,50,48,45,42,39,36,34,31,28,24,22,18,16,17,20,22,25,26,30,32,34,37,39,42,44,46,49,53,54,57
Asia Jaya,46,43,39,37,31,29,28,27,25,24,22,20,18,17,14,12,9,8,6,2,0,3,6,8,11,13,16,17,21,23,26,27,30,32,35,38,42,54,52,50,47,44,41,38,36,33,30,26,24,20,18,19,22,24,27,28,32,34,36,39,41,44,46,48,51,55,56,59
Taman Paramount,49,46,42,40,34,32,31,30,28,27,25,23,21,20,17,15,12,11,9,5,3,0,3,5,8,10,13,14,18,20,23,24,27,29,32,35,39,57,55,53,50,47,44,41,39,36,33,29,27,23,21,22,25,27,30,31,35,37,39,42,44,47,49,51,54,58,59,62
Taman Bahagia,52,49,45,43,37,35,34,33,31,30,28,26,24,23,20,18,15,14,12,8,6,3,0,2,5,7,10,11,15,17,20,21,24,26,29,32,36,60,58,56,53,50,47,44,42,39,36,32,30,26,24,25,28,30,33,34,38,40,42,45,47,50,52,54,57,61,62,65
